Ubigeo,Departamento,Year,Variable,Value
30000,APURIMAC,2015,gdpdep,942904.0413
40000,AREQUIPA,2015,gdpdep,9215600.627
50000,AYACUCHO,2015,gdpdep,2064066.086
60000,CAJAMARCA,2015,gdpdep,3735180.755
80000,CUSCO,2015,gdpdep,4575888.85
90000,HUANCAVELICA,2015,gdpdep,1252217.757
100000,HUANUCO,2015,gdpdep,1615944.988
110000,ICA,2015,gdpdep,5798201.449
120000,JUNIN,2015,gdpdep,5681820.887
130000,LA LIBERTAD,2015,gdpdep,7561287.464
140000,LAMBAYEQUE,2015,gdpdep,4552854.458
150000,LIMA,2015,gdpdep,140832705.5
160000,LORETO,2015,gdpdep,1783540.47
170000,MADRE DE DIOS,2015,gdpdep,562682.0319
180000,MOQUEGUA,2015,gdpdep,1281086.552
190000,PASCO,2015,gdpdep,770713.5782
200000,PIURA,2015,gdpdep,5879187.995
210000,PUNO,2015,gdpdep,3309904.386
220000,SAN MARTIN,2015,gdpdep,2230475.569
230000,TACNA,2015,gdpdep,1698457.05
240000,TUMBES,2015,gdpdep,486647.2969
250000,UCAYALI,2015,gdpdep,1942390.364
10000,AMAZONAS,2016,gdpdep,1408005.813
20000,ANCASH,2016,gdpdep,3813481.231
30000,APURIMAC,2016,gdpdep,2274002.996
40000,AREQUIPA,2016,gdpdep,11605262.29
50000,AYACUCHO,2016,gdpdep,2070255.222
60000,CAJAMARCA,2016,gdpdep,3658432.212
80000,CUSCO,2016,gdpdep,4754674.31
90000,HUANCAVELICA,2016,gdpdep,1231849.802
100000,HUANUCO,2016,gdpdep,1688673.106
110000,ICA,2016,gdpdep,5810152.382
120000,JUNIN,2016,gdpdep,5630284.354
130000,LA LIBERTAD,2016,gdpdep,7624716.218
140000,LAMBAYEQUE,2016,gdpdep,4665183.682
150000,LIMA,2016,gdpdep,144622274.8
160000,LORETO,2016,gdpdep,1578348.006
170000,MADRE DE DIOS,2016,gdpdep,638611.1256
180000,MOQUEGUA,2016,gdpdep,1269795.002
190000,PASCO,2016,gdpdep,787980.8742
200000,PIURA,2016,gdpdep,5896610.141
210000,PUNO,2016,gdpdep,3527288.875
220000,SAN MARTIN,2016,gdpdep,2280380.947
230000,TACNA,2016,gdpdep,1674546.465
240000,TUMBES,2016,gdpdep,480230.2268
250000,UCAYALI,2016,gdpdep,1948078.214
10000,AMAZONAS,2017,gdpdep,1488730.669
20000,ANCASH,2017,gdpdep,4005398.57
30000,APURIMAC,2017,gdpdep,2764838.766
40000,AREQUIPA,2017,gdpdep,12035105.38
50000,AYACUCHO,2017,gdpdep,2179318.647
60000,CAJAMARCA,2017,gdpdep,3764814.931
80000,CUSCO,2017,gdpdep,4686893.564
90000,HUANCAVELICA,2017,gdpdep,1287628.7
100000,HUANUCO,2017,gdpdep,1840424.492
110000,ICA,2017,gdpdep,6162355.268
120000,JUNIN,2017,gdpdep,5885529.122
130000,LA LIBERTAD,2017,gdpdep,7753524.914
140000,LAMBAYEQUE,2017,gdpdep,4779517.927
150000,LIMA,2017,gdpdep,147655989.7
160000,LORETO,2017,gdpdep,1666354.393
170000,MADRE DE DIOS,2017,gdpdep,574363.6707
180000,MOQUEGUA,2017,gdpdep,1272574.114
190000,PASCO,2017,gdpdep,787564.1907
200000,PIURA,2017,gdpdep,5786342.916
210000,PUNO,2017,gdpdep,3664863.419
220000,SAN MARTIN,2017,gdpdep,2427365.67
230000,TACNA,2017,gdpdep,1691678.377
240000,TUMBES,2017,gdpdep,491766.9883
250000,UCAYALI,2017,gdpdep,1986068.145
10000,AMAZONAS,1795,popdep,27723.76977
20000,ANCASH,1795,popdep,86336
30000,APURIMAC,1795,popdep,72384
40000,AREQUIPA,1795,popdep,81823
50000,AYACUCHO,1795,popdep,99539
60000,CAJAMARCA,1795,popdep,63100.37309
80000,CUSCO,1795,popdep,158344.8192
90000,HUANCAVELICA,1795,popdep,30917
100000,HUANUCO,1795,popdep,32982.57704
110000,ICA,1795,popdep,20576
120000,JUNIN,1795,popdep,54249.7662
130000,LA LIBERTAD,1795,popdep,63775.40838
140000,LAMBAYEQUE,1795,popdep,35192
150000,LIMA,1795,popdep,125202
160000,LORETO,1795,popdep,81147.4
170000,MADRE DE DIOS,1795,popdep,83905.51416
180000,MOQUEGUA,1795,popdep,28279
190000,PASCO,1795,popdep,36615.77394
200000,PIURA,1795,popdep,53630.06534
210000,PUNO,1795,popdep,156878.5984
220000,SAN MARTIN,1795,popdep,35032.15043
230000,TACNA,1795,popdep,18776
240000,TUMBES,1795,popdep,2576.661342
250000,UCAYALI,1795,popdep,121113.7783
10000,AMAZONAS,1796,popdep,28440.76977
20000,ANCASH,1796,popdep,85588
30000,APURIMAC,1796,popdep,71774
40000,AREQUIPA,1796,popdep,81902
50000,AYACUCHO,1796,popdep,99819
60000,CAJAMARCA,1796,popdep,63266.37309
80000,CUSCO,1796,popdep,158683.8192
90000,HUANCAVELICA,1796,popdep,33616
100000,HUANUCO,1796,popdep,33352.57704
110000,ICA,1796,popdep,20612
120000,JUNIN,1796,popdep,54464.7662
130000,LA LIBERTAD,1796,popdep,64561.40838
140000,LAMBAYEQUE,1796,popdep,35624
150000,LIMA,1796,popdep,125355
160000,LORETO,1796,popdep,81331.4
170000,MADRE DE DIOS,1796,popdep,83912.51416
180000,MOQUEGUA,1796,popdep,28464
190000,PASCO,1796,popdep,36881.77394
200000,PIURA,1796,popdep,53631.53371
210000,PUNO,1796,popdep,158921.5984
220000,SAN MARTIN,1796,popdep,35481.15043
230000,TACNA,1796,popdep,18866
240000,TUMBES,1796,popdep,2834.312301
250000,UCAYALI,1796,popdep,121164.7783
10000,AMAZONAS,1797,popdep,29149.76977
20000,ANCASH,1797,popdep,84852
30000,APURIMAC,1797,popdep,71178
40000,AREQUIPA,1797,popdep,81983
50000,AYACUCHO,1797,popdep,100098
60000,CAJAMARCA,1797,popdep,63440.37309
80000,CUSCO,1797,popdep,159019.8192
90000,HUANCAVELICA,1797,popdep,36304
100000,HUANUCO,1797,popdep,33717.57704
110000,ICA,1797,popdep,20648
120000,JUNIN,1797,popdep,54679.7662
130000,LA LIBERTAD,1797,popdep,65342.40838
140000,LAMBAYEQUE,1797,popdep,36057
150000,LIMA,1797,popdep,125511
160000,LORETO,1797,popdep,81515.4
170000,MADRE DE DIOS,1797,popdep,83918.51416
180000,MOQUEGUA,1797,popdep,28648
190000,PASCO,1797,popdep,37145.77394
200000,PIURA,1797,popdep,54508.31159
210000,PUNO,1797,popdep,160957.5984
220000,SAN MARTIN,1797,popdep,35932.15043
230000,TACNA,1797,popdep,18955
240000,TUMBES,1797,popdep,2842.35796
250000,UCAYALI,1797,popdep,121214.7783
10000,AMAZONAS,1798,popdep,29841.76977
20000,ANCASH,1798,popdep,84152
30000,APURIMAC,1798,popdep,70610
40000,AREQUIPA,1798,popdep,82071
50000,AYACUCHO,1798,popdep,100374
60000,CAJAMARCA,1798,popdep,63630.37309
80000,CUSCO,1798,popdep,159349.8192
90000,HUANCAVELICA,1798,popdep,38966
100000,HUANUCO,1798,popdep,34073.57704
110000,ICA,1798,popdep,20684
120000,JUNIN,1798,popdep,54893.7662
130000,LA LIBERTAD,1798,popdep,66113.40838
140000,LAMBAYEQUE,1798,popdep,36488
150000,LIMA,1798,popdep,125673
160000,LORETO,1798,popdep,81698.4
170000,MADRE DE DIOS,1798,popdep,83925.51416
180000,MOQUEGUA,1798,popdep,28829
190000,PASCO,1798,popdep,37403.77394
200000,PIURA,1798,popdep,53708.96392
210000,PUNO,1798,popdep,162980.5984
220000,SAN MARTIN,1798,popdep,36387.15043
230000,TACNA,1798,popdep,19045
240000,TUMBES,1798,popdep,2767.542771
250000,UCAYALI,1798,popdep,121265.7783
10000,AMAZONAS,1799,popdep,30506.76977
20000,ANCASH,1799,popdep,83509
30000,APURIMAC,1799,popdep,70085
40000,AREQUIPA,1799,popdep,82167
50000,AYACUCHO,1799,popdep,100645
60000,CAJAMARCA,1799,popdep,63843.37309
80000,CUSCO,1799,popdep,159669.8192
90000,HUANCAVELICA,1799,popdep,41585
100000,HUANUCO,1799,popdep,34414.57704
110000,ICA,1799,popdep,20720
120000,JUNIN,1799,popdep,55106.7662
130000,LA LIBERTAD,1799,popdep,66867.40838
140000,LAMBAYEQUE,1799,popdep,36920
150000,LIMA,1799,popdep,125844
160000,LORETO,1799,popdep,81878.4
170000,MADRE DE DIOS,1799,popdep,83931.51416
180000,MOQUEGUA,1799,popdep,29008
190000,PASCO,1799,popdep,37654.77394
200000,PIURA,1799,popdep,52981.23112
210000,PUNO,1799,popdep,164981.5984
220000,SAN MARTIN,1799,popdep,36843.15043
230000,TACNA,1799,popdep,19135
240000,TUMBES,1799,popdep,2666.290066
250000,UCAYALI,1799,popdep,121314.7783
10000,AMAZONAS,1800,popdep,30963.76977
20000,ANCASH,1800,popdep,83532
30000,APURIMAC,1800,popdep,69986
40000,AREQUIPA,1800,popdep,82327
50000,AYACUCHO,1800,popdep,100884
60000,CAJAMARCA,1800,popdep,64225.37309
80000,CUSCO,1800,popdep,159919.8192
90000,HUANCAVELICA,1800,popdep,43860
100000,HUANUCO,1800,popdep,34642.57704
110000,ICA,1800,popdep,20757
120000,JUNIN,1800,popdep,55309.7662
130000,LA LIBERTAD,1800,popdep,67504.40838
140000,LAMBAYEQUE,1800,popdep,37348
150000,LIMA,1800,popdep,126077
160000,LORETO,1800,popdep,82040.4
170000,MADRE DE DIOS,1800,popdep,83938.51416
180000,MOQUEGUA,1800,popdep,29162
190000,PASCO,1800,popdep,37847.77394
200000,PIURA,1800,popdep,55424.33856
210000,PUNO,1800,popdep,166832.5984
220000,SAN MARTIN,1800,popdep,37302.15043
230000,TACNA,1800,popdep,19228
240000,TUMBES,1800,popdep,2724.455666
250000,UCAYALI,1800,popdep,121359.7783
10000,AMAZONAS,1801,popdep,31491.76977
20000,ANCASH,1801,popdep,83191
30000,APURIMAC,1801,popdep,69684
40000,AREQUIPA,1801,popdep,82460
50000,AYACUCHO,1801,popdep,101137
60000,CAJAMARCA,1801,popdep,64536.37309
80000,CUSCO,1801,popdep,160199.8192
90000,HUANCAVELICA,1801,popdep,46286
100000,HUANUCO,1801,popdep,34908.57704
110000,ICA,1801,popdep,20794
120000,JUNIN,1801,popdep,55517.7662
130000,LA LIBERTAD,1801,popdep,68191.40838
140000,LAMBAYEQUE,1801,popdep,37778
150000,LIMA,1801,popdep,126285
160000,LORETO,1801,popdep,82210.4
170000,MADRE DE DIOS,1801,popdep,83944.51416
180000,MOQUEGUA,1801,popdep,29327
190000,PASCO,1801,popdep,38065.77394
200000,PIURA,1801,popdep,57261.82123
210000,PUNO,1801,popdep,168747.5984
220000,SAN MARTIN,1801,popdep,37764.15043
230000,TACNA,1801,popdep,19320
240000,TUMBES,1801,popdep,2789.346154
250000,UCAYALI,1801,popdep,121406.7783
10000,AMAZONAS,1802,popdep,31949.76977
20000,ANCASH,1802,popdep,82953
30000,APURIMAC,1802,popdep,69450
40000,AREQUIPA,1802,popdep,82612
50000,AYACUCHO,1802,popdep,101380
60000,CAJAMARCA,1802,popdep,64893.37309
80000,CUSCO,1802,popdep,160457.8192
90000,HUANCAVELICA,1802,popdep,48620
100000,HUANUCO,1802,popdep,35138.57704
110000,ICA,1802,popdep,20831
120000,JUNIN,1802,popdep,55721.7662
130000,LA LIBERTAD,1802,popdep,68846.40838
140000,LAMBAYEQUE,1802,popdep,38207
150000,LIMA,1802,popdep,126510
160000,LORETO,1802,popdep,82376.4
170000,MADRE DE DIOS,1802,popdep,83950.51416
180000,MOQUEGUA,1802,popdep,29485
190000,PASCO,1802,popdep,38263.77394
200000,PIURA,1802,popdep,57252.59261
210000,PUNO,1802,popdep,170620.5984
220000,SAN MARTIN,1802,popdep,38228.15043
230000,TACNA,1802,popdep,19413
240000,TUMBES,1802,popdep,2749.423146
250000,UCAYALI,1802,popdep,121452.7783
10000,AMAZONAS,1803,popdep,32334.76977
20000,ANCASH,1803,popdep,82841
30000,APURIMAC,1803,popdep,69298
40000,AREQUIPA,1803,popdep,82783
50000,AYACUCHO,1803,popdep,101613
60000,CAJAMARCA,1803,popdep,65306.37309
80000,CUSCO,1803,popdep,160689.8192
90000,HUANCAVELICA,1803,popdep,50845
100000,HUANUCO,1803,popdep,35330.57704
110000,ICA,1803,popdep,20869
120000,JUNIN,1803,popdep,55923.7662
130000,LA LIBERTAD,1803,popdep,69462.40838
140000,LAMBAYEQUE,1803,popdep,38635
150000,LIMA,1803,popdep,126755
160000,LORETO,1803,popdep,82536.4
170000,MADRE DE DIOS,1803,popdep,83956.51416
180000,MOQUEGUA,1803,popdep,29636
190000,PASCO,1803,popdep,38439.77394
200000,PIURA,1803,popdep,57317.62657
210000,PUNO,1803,popdep,172444.5984
220000,SAN MARTIN,1803,popdep,38695.15043
230000,TACNA,1803,popdep,19506
240000,TUMBES,1803,popdep,2697.582995
250000,UCAYALI,1803,popdep,121496.7783
10000,AMAZONAS,1804,popdep,32644.76977
20000,ANCASH,1804,popdep,82877
30000,APURIMAC,1804,popdep,69242
40000,AREQUIPA,1804,popdep,82979
50000,AYACUCHO,1804,popdep,101833
60000,CAJAMARCA,1804,popdep,65780.37309
80000,CUSCO,1804,popdep,160889.8192
90000,HUANCAVELICA,1804,popdep,52943
100000,HUANUCO,1804,popdep,35483.57704
110000,ICA,1804,popdep,20907
120000,JUNIN,1804,popdep,56122.7662
130000,LA LIBERTAD,1804,popdep,70035.40838
140000,LAMBAYEQUE,1804,popdep,39062
150000,LIMA,1804,popdep,127024
160000,LORETO,1804,popdep,82689.4
170000,MADRE DE DIOS,1804,popdep,83962.51416
180000,MOQUEGUA,1804,popdep,29778
190000,PASCO,1804,popdep,38589.77394
200000,PIURA,1804,popdep,56571.3065
210000,PUNO,1804,popdep,174212.5984
220000,SAN MARTIN,1804,popdep,39164.15043
230000,TACNA,1804,popdep,19601
240000,TUMBES,1804,popdep,2649.42928
250000,UCAYALI,1804,popdep,121539.7783
10000,AMAZONAS,1805,popdep,32883.76977
20000,ANCASH,1805,popdep,83081
30000,APURIMAC,1805,popdep,69294
40000,AREQUIPA,1805,popdep,83201
50000,AYACUCHO,1805,popdep,102040
60000,CAJAMARCA,1805,popdep,66325.37309
80000,CUSCO,1805,popdep,161056.8192
90000,HUANCAVELICA,1805,popdep,54899
100000,HUANUCO,1805,popdep,35597.57704
110000,ICA,1805,popdep,20945
120000,JUNIN,1805,popdep,56317.7662
130000,LA LIBERTAD,1805,popdep,70552.40838
140000,LAMBAYEQUE,1805,popdep,39487
150000,LIMA,1805,popdep,127319
160000,LORETO,1805,popdep,82835.4
170000,MADRE DE DIOS,1805,popdep,83968.51416
180000,MOQUEGUA,1805,popdep,29910
190000,PASCO,1805,popdep,38713.77394
200000,PIURA,1805,popdep,58255.73779
210000,PUNO,1805,popdep,175917.5984
220000,SAN MARTIN,1805,popdep,39636.15043
230000,TACNA,1805,popdep,19696
240000,TUMBES,1805,popdep,2681.955206
250000,UCAYALI,1805,popdep,121579.7783
10000,AMAZONAS,1806,popdep,33042.76977
20000,ANCASH,1806,popdep,83474
30000,APURIMAC,1806,popdep,69468
40000,AREQUIPA,1806,popdep,83453
50000,AYACUCHO,1806,popdep,102232
60000,CAJAMARCA,1806,popdep,66948.37309
80000,CUSCO,1806,popdep,161190.8192
90000,HUANCAVELICA,1806,popdep,56688
100000,HUANUCO,1806,popdep,35667.57704
110000,ICA,1806,popdep,20984
120000,JUNIN,1806,popdep,56507.7662
130000,LA LIBERTAD,1806,popdep,71004.40838
140000,LAMBAYEQUE,1806,popdep,39912
150000,LIMA,1806,popdep,127643
160000,LORETO,1806,popdep,82973.4
170000,MADRE DE DIOS,1806,popdep,83974.51416
180000,MOQUEGUA,1806,popdep,30031
190000,PASCO,1806,popdep,38812.77394
200000,PIURA,1806,popdep,58374.76219
210000,PUNO,1806,popdep,177551.5984
220000,SAN MARTIN,1806,popdep,40111.15043
230000,TACNA,1806,popdep,19793
240000,TUMBES,1806,popdep,2666.001887
250000,UCAYALI,1806,popdep,121618.7783
10000,AMAZONAS,1807,popdep,33111.76977
20000,ANCASH,1807,popdep,84078
30000,APURIMAC,1807,popdep,69778
40000,AREQUIPA,1807,popdep,83737
50000,AYACUCHO,1807,popdep,102407
60000,CAJAMARCA,1807,popdep,67656.37309
80000,CUSCO,1807,popdep,161293.8192
90000,HUANCAVELICA,1807,popdep,58277
100000,HUANUCO,1807,popdep,35687.57704
110000,ICA,1807,popdep,21023
120000,JUNIN,1807,popdep,56693.7662
130000,LA LIBERTAD,1807,popdep,71386.40838
140000,LAMBAYEQUE,1807,popdep,40334
150000,LIMA,1807,popdep,128000
160000,LORETO,1807,popdep,83102.4
170000,MADRE DE DIOS,1807,popdep,83980.51416
180000,MOQUEGUA,1807,popdep,30138
190000,PASCO,1807,popdep,38884.77394
200000,PIURA,1807,popdep,58580.76031
210000,PUNO,1807,popdep,179109.5984
220000,SAN MARTIN,1807,popdep,40588.15043
230000,TACNA,1807,popdep,19891
240000,TUMBES,1807,popdep,2663.246707
250000,UCAYALI,1807,popdep,121654.7783
10000,AMAZONAS,1808,popdep,33080.76977
20000,ANCASH,1808,popdep,84924
30000,APURIMAC,1808,popdep,70237
40000,AREQUIPA,1808,popdep,84056
50000,AYACUCHO,1808,popdep,102562
60000,CAJAMARCA,1808,popdep,68458.37309
80000,CUSCO,1808,popdep,161362.8192
90000,HUANCAVELICA,1808,popdep,59646
100000,HUANUCO,1808,popdep,35653.57704
110000,ICA,1808,popdep,21061
120000,JUNIN,1808,popdep,56874.7662
130000,LA LIBERTAD,1808,popdep,71700.40838
140000,LAMBAYEQUE,1808,popdep,40755
150000,LIMA,1808,popdep,128391
160000,LORETO,1808,popdep,83222.4
170000,MADRE DE DIOS,1808,popdep,83986.51416
180000,MOQUEGUA,1808,popdep,30231
190000,PASCO,1808,popdep,38929.77394
200000,PIURA,1808,popdep,56851.4655
210000,PUNO,1808,popdep,180583.5984
220000,SAN MARTIN,1808,popdep,41068.15043
230000,TACNA,1808,popdep,19991
240000,TUMBES,1808,popdep,2562.841026
250000,UCAYALI,1808,popdep,121687.7783
10000,AMAZONAS,1809,popdep,32942.76977
20000,ANCASH,1809,popdep,86044
30000,APURIMAC,1809,popdep,70869
40000,AREQUIPA,1809,popdep,84414
50000,AYACUCHO,1809,popdep,102696
60000,CAJAMARCA,1809,popdep,69360.37309
80000,CUSCO,1809,popdep,161400.8192
90000,HUANCAVELICA,1809,popdep,60788
100000,HUANUCO,1809,popdep,35560.57704
110000,ICA,1809,popdep,21098
120000,JUNIN,1809,popdep,57050.7662
130000,LA LIBERTAD,1809,popdep,71946.40838
140000,LAMBAYEQUE,1809,popdep,41173
150000,LIMA,1809,popdep,128820
160000,LORETO,1809,popdep,83331.4
170000,MADRE DE DIOS,1809,popdep,83992.51416
180000,MOQUEGUA,1809,popdep,30309
190000,PASCO,1809,popdep,38944.77394
200000,PIURA,1809,popdep,58121.40221
210000,PUNO,1809,popdep,181967.5984
220000,SAN MARTIN,1809,popdep,41551.15043
230000,TACNA,1809,popdep,20092
240000,TUMBES,1809,popdep,2563.585278
250000,UCAYALI,1809,popdep,121718.7783
10000,AMAZONAS,1810,popdep,32689.76977
20000,ANCASH,1810,popdep,87463
30000,APURIMAC,1810,popdep,71691
40000,AREQUIPA,1810,popdep,84814
50000,AYACUCHO,1810,popdep,102807
60000,CAJAMARCA,1810,popdep,70365.37309
80000,CUSCO,1810,popdep,161416.8192
90000,HUANCAVELICA,1810,popdep,61707
100000,HUANUCO,1810,popdep,35405.57704
110000,ICA,1810,popdep,21131
120000,JUNIN,1810,popdep,57221.7662
130000,LA LIBERTAD,1810,popdep,72128.40838
140000,LAMBAYEQUE,1810,popdep,41588
150000,LIMA,1810,popdep,129289
160000,LORETO,1810,popdep,83428.4
170000,MADRE DE DIOS,1810,popdep,83997.51416
180000,MOQUEGUA,1810,popdep,30372
190000,PASCO,1810,popdep,38927.77394
200000,PIURA,1810,popdep,58717.48122
210000,PUNO,1810,popdep,183257.5984
220000,SAN MARTIN,1810,popdep,42036.15043
230000,TACNA,1810,popdep,20194
240000,TUMBES,1810,popdep,2511.226242
250000,UCAYALI,1810,popdep,121745.7783
10000,AMAZONAS,1811,popdep,32318.76977
20000,ANCASH,1811,popdep,89190
30000,APURIMAC,1811,popdep,72712
40000,AREQUIPA,1811,popdep,85257
50000,AYACUCHO,1811,popdep,102897
60000,CAJAMARCA,1811,popdep,71475.37309
80000,CUSCO,1811,popdep,161415.8192
90000,HUANCAVELICA,1811,popdep,62418
100000,HUANUCO,1811,popdep,35189.57704
110000,ICA,1811,popdep,21161
120000,JUNIN,1811,popdep,57389.7662
130000,LA LIBERTAD,1811,popdep,72245.40838
140000,LAMBAYEQUE,1811,popdep,41998
150000,LIMA,1811,popdep,129797
160000,LORETO,1811,popdep,83514.4
170000,MADRE DE DIOS,1811,popdep,84003.51416
180000,MOQUEGUA,1811,popdep,30421
190000,PASCO,1811,popdep,38879.77394
200000,PIURA,1811,popdep,60363.84012
210000,PUNO,1811,popdep,184454.5984
220000,SAN MARTIN,1811,popdep,42524.15043
230000,TACNA,1811,popdep,20296
240000,TUMBES,1811,popdep,2488.59618
250000,UCAYALI,1811,popdep,121770.7783
10000,AMAZONAS,1812,popdep,31820.76977
20000,ANCASH,1812,popdep,91220
30000,APURIMAC,1812,popdep,73929
40000,AREQUIPA,1812,popdep,85748
50000,AYACUCHO,1812,popdep,102966
60000,CAJAMARCA,1812,popdep,72689.37309
80000,CUSCO,1812,popdep,161403.8192
90000,HUANCAVELICA,1812,popdep,62916
100000,HUANUCO,1812,popdep,34908.57704
110000,ICA,1812,popdep,21186
120000,JUNIN,1812,popdep,57555.7662
130000,LA LIBERTAD,1812,popdep,72300.40838
140000,LAMBAYEQUE,1812,popdep,42399
150000,LIMA,1812,popdep,130344
160000,LORETO,1812,popdep,83587.4
170000,MADRE DE DIOS,1812,popdep,84009.51416
180000,MOQUEGUA,1812,popdep,30456
190000,PASCO,1812,popdep,38803.77394
200000,PIURA,1812,popdep,61622.94907
210000,PUNO,1812,popdep,185560.5984
220000,SAN MARTIN,1812,popdep,43015.15043
230000,TACNA,1812,popdep,20398
240000,TUMBES,1812,popdep,2507.202159
250000,UCAYALI,1812,popdep,121791.7783
10000,AMAZONAS,1813,popdep,31025.76977
20000,ANCASH,1813,popdep,93703
30000,APURIMAC,1813,popdep,75507
40000,AREQUIPA,1813,popdep,86294
50000,AYACUCHO,1813,popdep,102997
60000,CAJAMARCA,1813,popdep,74084.37309
80000,CUSCO,1813,popdep,161269.8192
90000,HUANCAVELICA,1813,popdep,63010
100000,HUANUCO,1813,popdep,34466.57704
110000,ICA,1813,popdep,21172
120000,JUNIN,1813,popdep,57702.7662
130000,LA LIBERTAD,1813,popdep,72203.40838
140000,LAMBAYEQUE,1813,popdep,42813
150000,LIMA,1813,popdep,130959
160000,LORETO,1813,popdep,83641.4
170000,MADRE DE DIOS,1813,popdep,84034.51416
180000,MOQUEGUA,1813,popdep,30463
190000,PASCO,1813,popdep,38649.77394
200000,PIURA,1813,popdep,59960.12111
210000,PUNO,1813,popdep,186491.5984
220000,SAN MARTIN,1813,popdep,42604.15043
230000,TACNA,1813,popdep,20486
240000,TUMBES,1813,popdep,2402.808538
250000,UCAYALI,1813,popdep,121807.7783
10000,AMAZONAS,1814,popdep,30107.76977
20000,ANCASH,1814,popdep,96457
30000,APURIMAC,1814,popdep,77245
40000,AREQUIPA,1814,popdep,86894
50000,AYACUCHO,1814,popdep,103009
60000,CAJAMARCA,1814,popdep,75571.37309
80000,CUSCO,1814,popdep,161149.8192
90000,HUANCAVELICA,1814,popdep,62902
100000,HUANUCO,1814,popdep,33967.57704
110000,ICA,1814,popdep,21149
120000,JUNIN,1814,popdep,57854.7662
130000,LA LIBERTAD,1814,popdep,72061.40838
140000,LAMBAYEQUE,1814,popdep,43204
150000,LIMA,1814,popdep,131609
160000,LORETO,1814,popdep,83683.4
170000,MADRE DE DIOS,1814,popdep,84060.51416
180000,MOQUEGUA,1814,popdep,30457
190000,PASCO,1814,popdep,38475.77394
200000,PIURA,1814,popdep,59560.09709
210000,PUNO,1814,popdep,187348.5984
220000,SAN MARTIN,1814,popdep,42194.15043
230000,TACNA,1814,popdep,20567
240000,TUMBES,1814,popdep,2415.767328
250000,UCAYALI,1814,popdep,121820.7783
10000,AMAZONAS,1815,popdep,29080.76977
20000,ANCASH,1815,popdep,99459
30000,APURIMAC,1815,popdep,79119
40000,AREQUIPA,1815,popdep,87549
50000,AYACUCHO,1815,popdep,103005
60000,CAJAMARCA,1815,popdep,77135.37309
80000,CUSCO,1815,popdep,161067.8192
90000,HUANCAVELICA,1815,popdep,62608
100000,HUANUCO,1815,popdep,33421.57704
110000,ICA,1815,popdep,21114
120000,JUNIN,1815,popdep,58015.7662
130000,LA LIBERTAD,1815,popdep,71893.40838
140000,LAMBAYEQUE,1815,popdep,43562
150000,LIMA,1815,popdep,132289
160000,LORETO,1815,popdep,83714.4
170000,MADRE DE DIOS,1815,popdep,84086.51416
180000,MOQUEGUA,1815,popdep,30442
190000,PASCO,1815,popdep,38290.77394
200000,PIURA,1815,popdep,60435.57702
210000,PUNO,1815,popdep,188146.5984
220000,SAN MARTIN,1815,popdep,41784.15043
230000,TACNA,1815,popdep,20637
240000,TUMBES,1815,popdep,2443.624164
250000,UCAYALI,1815,popdep,121830.7783
10000,AMAZONAS,1816,popdep,27965.76977
20000,ANCASH,1816,popdep,102676
30000,APURIMAC,1816,popdep,81100
40000,AREQUIPA,1816,popdep,88263
50000,AYACUCHO,1816,popdep,102986
60000,CAJAMARCA,1816,popdep,78762.37309
80000,CUSCO,1816,popdep,161053.8192
90000,HUANCAVELICA,1816,popdep,62147
100000,HUANUCO,1816,popdep,32845.57704
110000,ICA,1816,popdep,21060
120000,JUNIN,1816,popdep,58192.7662
130000,LA LIBERTAD,1816,popdep,71715.40838
140000,LAMBAYEQUE,1816,popdep,43879
150000,LIMA,1816,popdep,132992
160000,LORETO,1816,popdep,83735.4
170000,MADRE DE DIOS,1816,popdep,84112.51416
180000,MOQUEGUA,1816,popdep,30418
190000,PASCO,1816,popdep,38103.77394
200000,PIURA,1816,popdep,60662.11113
210000,PUNO,1816,popdep,188903.5984
220000,SAN MARTIN,1816,popdep,41375.15043
230000,TACNA,1816,popdep,20696
240000,TUMBES,1816,popdep,2452.927926
250000,UCAYALI,1816,popdep,121836.7783
10000,AMAZONAS,1817,popdep,26793.76977
20000,ANCASH,1817,popdep,106072
30000,APURIMAC,1817,popdep,83153
40000,AREQUIPA,1817,popdep,89039
50000,AYACUCHO,1817,popdep,102954
60000,CAJAMARCA,1817,popdep,80431.37309
80000,CUSCO,1817,popdep,161144.8192
90000,HUANCAVELICA,1817,popdep,61544
100000,HUANUCO,1817,popdep,32258.57704
110000,ICA,1817,popdep,20981
120000,JUNIN,1817,popdep,58389.7662
130000,LA LIBERTAD,1817,popdep,71534.40838
140000,LAMBAYEQUE,1817,popdep,44150
150000,LIMA,1817,popdep,133714
160000,LORETO,1817,popdep,83746.4
170000,MADRE DE DIOS,1817,popdep,84138.51416
180000,MOQUEGUA,1817,popdep,30391
190000,PASCO,1817,popdep,37924.77394
200000,PIURA,1817,popdep,59618.5655
210000,PUNO,1817,popdep,189640.5984
220000,SAN MARTIN,1817,popdep,40968.15043
230000,TACNA,1817,popdep,20741
240000,TUMBES,1817,popdep,2394.447974
250000,UCAYALI,1817,popdep,121841.7783
10000,AMAZONAS,1818,popdep,25585.76977
20000,ANCASH,1818,popdep,109604
30000,APURIMAC,1818,popdep,85241
40000,AREQUIPA,1818,popdep,89878
50000,AYACUCHO,1818,popdep,102913
60000,CAJAMARCA,1818,popdep,82120.37309
